Micro F1: 98.9071, Macro F1: 96.1419, Params: {'dropout_rate': 0.25409370786186797, 'lr': 0.00824456706424713, 'gamma': 2.817678934537199, 'mod_weight': 0.33238675091195446, 'increase': 1.441639776977198, 'decrease': 0.7177194302102328, 'k': 8}
Micro F1: 98.9071, Macro F1: 96.1419, Params: {'dropout_rate': 0.20479028150860318, 'lr': 0.00824456706424713, 'gamma': 1.7343589733075977, 'mod_weight': 0.620720782108061, 'increase': 1.441639776977198, 'decrease': 0.7177194302102328, 'k': 15}
Micro F1: 98.9071, Macro F1: 96.1419, Params: {'dropout_rate': 0.12731060874674743, 'lr': 0.01103133562941981, 'gamma': 0.5954285020685709, 'mod_weight': 0.7022706915535587, 'increase': 1.707210109494167, 'decrease': 0.7623907759763018, 'k': 14}
Micro F1: 98.9071, Macro F1: 96.1419, Params: {'dropout_rate': 0.23125910590603316, 'lr': 0.012260163801240748, 'gamma': 5.647133199765947, 'mod_weight': 0.1880033695144543, 'increase': 1.502949849565011, 'decrease': 0.5377850875558631, 'k': 12}
Micro F1: 98.9071, Macro F1: 96.1419, Params: {'dropout_rate': 0.25409370786186797, 'lr': 0.00824456706424713, 'gamma': 2.817678934537199, 'mod_weight': 0.33238675091195446, 'increase': 1.7798530808326127, 'decrease': 0.7177194302102328, 'k': 7}
Micro F1: 98.9071, Macro F1: 96.1419, Params: {'dropout_rate': 0.25409370786186797, 'lr': 0.012260163801240748, 'gamma': 2.817678934537199, 'mod_weight': 0.33238675091195446, 'increase': 1.5123567108905944, 'decrease': 0.7177194302102328, 'k': 12}
Micro F1: 98.9071, Macro F1: 96.1419, Params: {'dropout_rate': 0.12731060874674743, 'lr': 0.0064014147708773405, 'gamma': 0.5954285020685709, 'mod_weight': 0.5936309659227986, 'increase': 1.3202907815782197, 'decrease': 0.4137190837711776, 'k': 12}
Micro F1: 98.9071, Macro F1: 96.1419, Params: {'dropout_rate': 0.25409370786186797, 'lr': 0.00824456706424713, 'gamma': 2.817678934537199, 'mod_weight': 0.33238675091195446, 'increase': 1.5123567108905944, 'decrease': 0.7177194302102328, 'k': 7}
Micro F1: 98.9071, Macro F1: 96.1419, Params: {'dropout_rate': 0.047609020863074725, 'lr': 0.021289412560965695, 'gamma': 5.647133199765947, 'mod_weight': 0.1880033695144543, 'increase': 1.502949849565011, 'decrease': 0.46932429134991027, 'k': 12}
